time,hr
1.2846803762155266,84.02226345083493
1.7846006695361067,84.02226345083493
2.206408417025346,83.57619931089323
3.0031563845050204,80.35913066525316
3.88582815239917,80.20395441293401
4.706009883628247,79.45791473832284
5.709756097560975,79.45791473832284
6.7720867208672075,75.94087055801332
7.709437270843294,74.01833291866151
8.416355810616928,73.42746949636951
9.1779531324725,72.13171637730815
9.818476008289492,71.24499493548466
10.462904511398053,71.83585835777667
11.318236888251233,73.75839599712847
12.259493065518889,74.34925941942048
13.036712896540728,76.0837725055304
13.817838354854134,76.66321423979132
14.837207077953128,76.66321423979132
15.544125617726761,76.50803798747218
16.036234656464206,74.50424029448195
16.91500079706679,74.96986311665587
17.973425793081454,76.641329657793
18.805324406185235,76.641329657793
19.5434879642914,78.16069274368677
20.109803921568624,80.01238698143356
20.676119878845842,79.54676415925964
21.297114618205,78.02740107336595
21.847808066315952,78.02740107336595
22.523481587757047,75.77649279796788
23.441304001275302,75.3377328309193
24.378654551251387,73.37087780621907
25.194930655188898,73.52605405853822
26.054168659333648,71.63943751718492
26.991519209309736,72.6845020736197
27.921058504702685,73.5888848628422
28.905276582177578,76.86415670684119
29.72936394069822,76.5568769992786
30.37769807109835,78.59866979295103
31.135389765662353,79.99208920153077
31.779818268770914,79.99208920153077
32.381284871672236,79.31090312550414
33.193655348318174,80.6193199448029
34.26770285349911,81.6204570565391
35.49797545034272,79.61229379123297
36.2947234178224,80.4550877883578
36.87275625697432,81.13627386438444
37.493750996333475,82.69098090849246
37.90384186194802,82.69098090849246
38.42329029172643,82.54475542800905
39.24347202295551,82.54475542800905
40.13395504543279,81.54361831627287
40.71979913916785,79.3077251961382
41.29002072373663,78.62653912011156
41.95397736330303,80.23030245444619
42.610122748286294,81.16886849669893
43.215494978479185,80.56624227410036
43.78571656304797,81.7980537615819
44.53169137573727,83.02986524906343
45.18393113342897,83.96843129131618
45.61745576279291,83.96843129131618
46.04316913757371,86.12282003710584
46.73837079547265,86.51076066790367
47.644476327116195,84.80382189239351
48.53495934959348,84.80382189239351
49.362952335405694,86.54955473098337
49.96441893830701,87.1381543087455
50.487772995377,87.33881325570981
50.999410170572276,93.61361636004999
51.40559540889525,93.03810003963571
51.88989319304956,88.75003782445836
52.52260481428342,88.75003782445836
53.28029650884743,88.75003782445836
54.287948350071716,84.77077307339047
55.350278973377954,89.52621309183695
56.04548063127688,92.26920141538876
56.56102343376373,92.26920141538876
57.002359317710805,92.26920141538876
57.6545990754025,92.26920141538876
58.39276263350867,86.63450035186486
58.98251235453529,86.63450035186486
59.69724214889206,90.31324771287822
60.603347680535606,91.62124677457186
61.41571815718155,92.9292458362655
61.91173282321056,95.89268121041516
62.62255699027577,92.72757027339239
63.43492746692171,85.88371197535623
64.16527977044474,85.88371197535623
