,method,method,method,roi,roi,roi,mae,mae,mae
tech,fft,hilbert,welch,fft,hilbert,welch,fft,hilbert,welch
video,,,,,,,,,
s28_vid_s28_T1_all_rois,pca_3,b,pca_3,poly,mesh_forehead,face_track,4.680861071107539,2.3612255077089013,5.031377605300608
s28_vid_s28_T2_all_rois,r,grey_w,g,poly,mesh_forehead,poly,13.481376827762078,3.6171009967550276,14.096096142991163
s28_vid_s28_T3_all_rois,r,grey_w,ica_1,face_track,manual,face_track,15.75811577944719,7.117406461405532,16.811222150424115
s34_vid_s34_T1_all_rois,pos,zca_2,pos,manual,none,manual,0.971192909375874,0.5070957629133659,1.0632189599562762
s34_vid_s34_T2_all_rois,zca_3,r,ica_3,mesh_forehead,none,poly,10.742021428227902,9.341083052361272,11.4942285945774
s34_vid_s34_T3_all_rois,pca_3,ica_3,ica_3,poly,none,poly,5.48617119049734,3.0129462390130453,7.1324208117533425
s9_vid_s9_T1_all_rois,zca_1,ica_3,zca_1,none,face_track,none,18.613385804562377,4.305460905912349,20.47760894120174
s9_vid_s9_T2_all_rois,ica_1,r,r,manual,manual,manual,28.495947189421315,18.932021858393345,25.532805328866782
s9_vid_s9_T3_all_rois,grey_a,pca_2,r,face_track,manual,none,23.37025885883688,5.885366770824789,24.71072671230993
