video,method,roi,score,color
s28_vid_s28_T1_all_rois,pca_3,face_track,5.03,red
s28_vid_s28_T1_all_rois,pca_3,none,5.05,blue
s28_vid_s28_T1_all_rois,chrom,face_track,5.14,green
s28_vid_s28_T1_all_rois,chrom,mesh_forehead,5.17,orange
s28_vid_s28_T1_all_rois,pca_3,manual,5.21,purple
s28_vid_s28_T1_all_rois,chrom,none,5.24,brown
s28_vid_s28_T2_all_rois,r,poly,13.48,red
s28_vid_s28_T2_all_rois,g,poly,14.1,blue
s28_vid_s28_T2_all_rois,grey_a,poly,14.39,green
s28_vid_s28_T2_all_rois,pca_1,poly,14.39,orange
s28_vid_s28_T2_all_rois,grey_w,poly,14.46,purple
s28_vid_s28_T2_all_rois,pca_2,none,14.57,brown
s28_vid_s28_T3_all_rois,r,face_track,15.76,red
s28_vid_s28_T3_all_rois,grey_w,bbox_forehead,16.21,blue
s28_vid_s28_T3_all_rois,ica_1,face_track,16.81,green
s28_vid_s28_T3_all_rois,b,mesh_forehead,17.16,orange
s28_vid_s28_T3_all_rois,grey_a,bbox_forehead,17.54,purple
s28_vid_s28_T3_all_rois,ica_2,mesh_forehead,17.84,brown
s34_vid_s34_T1_all_rois,pos,manual,0.97,red
s34_vid_s34_T1_all_rois,pca_3,manual,1.02,blue
s34_vid_s34_T1_all_rois,chrom,mesh_forehead,1.06,green
s34_vid_s34_T1_all_rois,pos,bbox_forehead,1.07,orange
s34_vid_s34_T1_all_rois,zca_2,bbox_forehead,1.1,purple
s34_vid_s34_T1_all_rois,ica_1,bbox_forehead,1.1,brown
s34_vid_s34_T2_all_rois,ica_3,bbox_forehead,11.76,red
s34_vid_s34_T2_all_rois,ica_3,poly,12.23,blue
s34_vid_s34_T2_all_rois,r,manual,12.26,green
s34_vid_s34_T2_all_rois,ica_1,manual,12.53,orange
s34_vid_s34_T2_all_rois,pca_3,manual,12.66,purple
s34_vid_s34_T2_all_rois,pca_2,mesh_forehead,12.83,brown
s34_vid_s34_T3_all_rois,ica_2,none,6.68,red
s34_vid_s34_T3_all_rois,pca_3,bbox_forehead,6.81,blue
s34_vid_s34_T3_all_rois,zca_2,poly,6.9,green
s34_vid_s34_T3_all_rois,pos,mesh_forehead,6.93,orange
s34_vid_s34_T3_all_rois,pca_3,manual,7.09,purple
s34_vid_s34_T3_all_rois,pos,manual,7.13,brown
s9_vid_s9_T1_all_rois,zca_1,none,20.48,red
s9_vid_s9_T1_all_rois,pca_3,face_track,20.7,blue
s9_vid_s9_T1_all_rois,ica_3,none,20.72,green
s9_vid_s9_T1_all_rois,ica_1,poly,21.24,orange
s9_vid_s9_T1_all_rois,pca_3,poly,21.74,purple
s9_vid_s9_T1_all_rois,zca_1,mesh_forehead,21.83,brown
s9_vid_s9_T2_all_rois,r,manual,25.53,red
s9_vid_s9_T2_all_rois,ica_1,manual,27.58,blue
s9_vid_s9_T2_all_rois,grey_w,manual,28.28,green
s9_vid_s9_T2_all_rois,grey_a,manual,28.38,orange
s9_vid_s9_T2_all_rois,pca_1,manual,28.38,purple
s9_vid_s9_T2_all_rois,g,manual,28.57,brown
s9_vid_s9_T3_all_rois,grey_a,face_track,23.37,red
s9_vid_s9_T3_all_rois,pca_1,face_track,23.5,blue
s9_vid_s9_T3_all_rois,ica_2,none,23.76,green
s9_vid_s9_T3_all_rois,grey_w,face_track,24.39,orange
s9_vid_s9_T3_all_rois,g,face_track,24.5,purple
s9_vid_s9_T3_all_rois,r,none,24.71,brown
